city,state,latitude,longitude,dup
Beswick Creek, NT,-14.92, 133.060,FALSE
Binjari, NT,-14.92, 133.060,FALSE
Birdum, NT,-14.92, 133.060,FALSE
Bradshaw, NT,-14.92, 133.060,FALSE
Buchanan, NT,-14.92, 133.060,FALSE
Bulman Weemol, NT,-14.92, 133.060,FALSE
Creswell, NT,-14.92, 133.060,FALSE
Daguragu, NT,-14.92, 133.060,FALSE
Daly Waters, NT,-14.92, 133.060,FALSE
Delamere, NT,-14.92, 133.060,FALSE
Dunmarra, NT,-14.92, 133.060,FALSE
Edith, NT,-14.92, 133.060,FALSE
Elsey, NT,-14.92, 133.060,FALSE
Elsey Station, NT,-14.92, 133.060,FALSE
Florina, NT,-14.92, 133.060,FALSE
Flying Fox, NT,-14.92, 133.060,FALSE
Gregory, NT,-14.92, 133.060,FALSE
Gulung Mardrulk, NT,-14.92, 133.060,FALSE
Gurindji, NT,-14.92, 133.060,FALSE
Jilkminggan, NT,-14.92, 133.060,FALSE
Kalkarindji, NT,-14.92, 133.060,FALSE
Lajamanu, NT,-14.92, 133.060,FALSE
Larrimah, NT,-14.92, 133.060,FALSE
Limmen, NT,-14.92, 133.060,FALSE
Manbulloo, NT,-14.92, 133.060,FALSE
Maranboy, NT,-14.92, 133.060,FALSE
Mataranka, NT,-14.92, 133.060,FALSE
Mcarthur, NT,-14.92, 133.060,FALSE
Miniyeri, NT,-14.92, 133.060,FALSE
Ngukurr, NT,-14.92, 133.060,FALSE
Nitmiluk, NT,-14.92, 133.060,FALSE
Pellew Islands, NT,-14.92, 133.060,FALSE
Pigeon Hole, NT,-14.92, 133.060,FALSE
Robinson River, NT,-14.92, 133.060,FALSE
Sturt Plateau, NT,-14.92, 133.060,FALSE
Tanami East, NT,-14.92, 133.060,FALSE
Timber Creek, NT,-14.92, 133.060,FALSE
Top Springs, NT,-14.92, 133.060,FALSE
Uralla, NT,-14.92, 133.060,FALSE
Venn, NT,-14.92, 133.060,FALSE
Victoria River, NT,-14.92, 133.060,FALSE
Victoria River Downs, NT,-14.92, 133.060,FALSE
Warumungu, NT,-14.92, 133.060,FALSE
Wave Hill, NT,-14.92, 133.060,FALSE
Wilton, NT,-14.92, 133.060,FALSE
Yarralin, NT,-14.92, 133.060,FALSE
Tindal, NT,0, 0.000,FALSE
Borroloola, NT,-16.82, 137.150,FALSE
King Ash Bay, NT,-16.82, 137.150,FALSE
Tennant Creek, NT,-19.65, 134.190,FALSE
Brunchilly, NT,-18.94, 134.320,FALSE
Avon Downs, NT,-20.23, 137.760,FALSE
Calvert, NT,-20.23, 137.760,FALSE
Cresswell Downs, NT,-20.23, 137.760,FALSE
Elliott, NT,-20.23, 137.760,FALSE
Helen Springs, NT,-20.23, 137.760,FALSE
Muckaty Station, NT,-20.23, 137.760,FALSE
Newcastle Waters, NT,-20.23, 137.760,FALSE
Nicholson, NT,-20.23, 137.760,FALSE
Pamayu, NT,-20.23, 137.760,FALSE
Phillip Creek Station, NT,-20.23, 137.760,FALSE
Renner Springs, NT,-20.23, 137.760,FALSE
Tablelands, NT,-20.23, 137.760,FALSE
Three Ways, NT,-20.23, 137.760,FALSE
